,data,servico,id_veiculo_amostra,hora_inicio,hora_fim,sentido_amostra,datetime_partida_amostra,datetime_chegada_amostra,status,servico_informado,id_veiculo_apurada,sentido_apurada,datetime_partida_apurada,datetime_chegada_apurada
125,2023-07-19,844,47689,11:44:00,11:53:00,I,2023-07-19 11:44:00,2023-07-19 11:53:00,Viagem inválida - a linha é circular,,,,,
126,2023-07-19,844,47689,12:05:00,12:13:00,I,2023-07-19 12:05:00,2023-07-19 12:13:00,Viagem inválida - a linha é circular,,,,,
127,2023-07-19,844,47689,12:28:00,12:37:00,I,2023-07-19 12:28:00,2023-07-19 12:37:00,Viagem inválida - a linha é circular,,,,,
128,2023-07-19,844,47689,12:51:00,13:01:00,I,2023-07-19 12:51:00,2023-07-19 13:01:00,Viagem inválida - a linha é circular,,,,,
129,2023-07-19,844,47689,13:14:00,13:29:00,I,2023-07-19 13:14:00,2023-07-19 13:29:00,Viagem inválida - a linha é circular,,,,,
130,2023-07-19,844,47689,13:38:00,13:47:00,I,2023-07-19 13:38:00,2023-07-19 13:47:00,Viagem inválida - a linha é circular,,,,,
131,2023-07-19,844,47689,13:55:00,14:05:00,I,2023-07-19 13:55:00,2023-07-19 14:05:00,Viagem inválida - a linha é circular,,,,,
132,2023-07-19,844,47689,14:16:00,14:27:00,I,2023-07-19 14:16:00,2023-07-19 14:27:00,Viagem inválida - a linha é circular,,,,,
133,2023-07-19,844,47689,14:41:00,14:53:00,I,2023-07-19 14:41:00,2023-07-19 14:53:00,Viagem inválida - a linha é circular,,,,,
134,2023-07-19,844,47689,15:07:00,15:17:00,I,2023-07-19 15:07:00,2023-07-19 15:17:00,Viagem inválida - a linha é circular,,,,,
135,2023-07-19,844,47689,15:26:00,15:35:00,I,2023-07-19 15:26:00,2023-07-19 15:35:00,Viagem inválida - a linha é circular,,,,,
136,2023-07-19,844,47689,15:48:00,15:57:00,I,2023-07-19 15:48:00,2023-07-19 15:57:00,Viagem inválida - a linha é circular,,,,,
137,2023-07-19,844,47689,16:11:00,16:22:00,I,2023-07-19 16:11:00,2023-07-19 16:22:00,Viagem inválida - a linha é circular,,,,,
138,2023-07-19,844,47689,16:42:00,16:56:00,I,2023-07-19 16:42:00,2023-07-19 16:56:00,Viagem inválida - a linha é circular,,,,,
139,2023-07-19,844,47689,17:11:00,17:19:00,I,2023-07-19 17:11:00,2023-07-19 17:19:00,Viagem inválida - a linha é circular,,,,,
140,2023-07-19,844,47689,17:38:00,17:46:00,I,2023-07-19 17:38:00,2023-07-19 17:46:00,Viagem inválida - a linha é circular,,,,,
141,2023-07-19,844,47689,18:01:00,18:16:00,I,2023-07-19 18:01:00,2023-07-19 18:16:00,Viagem inválida - a linha é circular,,,,,
142,2023-07-19,844,47689,18:35:00,18:48:00,I,2023-07-19 18:35:00,2023-07-19 18:48:00,Viagem inválida - a linha é circular,,,,,
143,2023-07-19,844,47689,18:49:00,18:58:00,V,2023-07-19 18:49:00,2023-07-19 18:58:00,"Encontrado sinal de GPS, mas sem dados em registros_status_viagem ",,,,,
144,2022-09-15,844,47689,10:42:00,10:50:00,V,2022-09-15 10:42:00,2022-09-15 10:50:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2022-09-15 10:43:54,2022-09-15 10:57:54
